,Order Id,AWB Number,Item Price(Per Qty.),Order Qty,Total weight as per X (KG),Weight (g),Weight slab as per X (KG),Total weight as per Courier Company (KG),Weight slab charged by Courier Company (KG),Zone,Delivery Zone charged by Courier Company,Expected Charge as per X (Rs.),Charges Billed by Courier Company (Rs.) ,Difference Between Expected Charges and Billed Charges (Rs.),correct values,undercharged,overcharged
66,2001811229,1091117957942,2004,3,0.505,505,1.0,0.6,1.0,B,D,61.3,93.2,-31.900000000000006,0,31.900000000000006,0.0
67,2001811363,1091117958395,3031,4,0.508,508,1.0,0.59,1.0,B,D,61.3,90.2,-28.900000000000006,0,28.900000000000006,0.0
68,2001811466,1091118001865,1399,3,0.607,607,1.0,0.8,1.0,B,D,61.3,90.2,-28.900000000000006,0,28.900000000000006,0.0
69,2001811809,1091118009786,1082,3,0.5,500,0.5,0.5,0.5,B,D,53.5,86.7,-33.2,0,33.2,0.0
70,2001812854,1091118548333,7479,11,2.572,2236,3.0,2.94,3.0,B,D,174.5,280.4,-105.89999999999998,0,105.89999999999998,0.0
71,2001813009,1091118553701,2406,5,0.72,720,1.0,1.0,1.5,B,D,61.3,92.2,-30.900000000000006,0,30.900000000000006,0.0
72,2001812650,1091118591534,2663,5,0.5630000000000001,227,1.0,0.61,1.0,B,D,61.3,90.2,-28.900000000000006,0,28.900000000000006,0.0
73,2001814580,1091118925110,233,1,0.127,127,0.5,0.15,0.5,B,D,53.5,94.7,-41.2,0,41.2,0.0
74,2001815688,1091119169701,1324,2,0.22,220,0.5,0.2,0.5,B,D,33.0,45.4,-12.399999999999999,0,12.399999999999999,0.0
75,2001816131,1091119367193,764,3,0.5539999999999999,452,1.0,0.7,1.0,B,D,61.3,90.2,-28.900000000000006,0,28.900000000000006,0.0
76,2001816996,1091119429202,1082,3,0.5,500,0.5,0.5,0.5,B,D,33.0,45.4,-12.399999999999999,0,12.399999999999999,0.0
77,2001821185,1091120959225,4789,10,2.098,1844,2.5,2.1,2.5,B,D,146.2,224.6,-78.4,0,78.4,0.0
